event_date;event;source
10/03/2024;On 10 March 2024, the Al Aqsa Martyrs Brigade fired mortar rounds toward Israeli troops west of Khan Yunis (coded to Khan Yunis - West (Municipal Stadium), Gaza Strip). Casualties unknown.;Arab 48
11/03/2024;On 11 March 2024, Hezbollah forces in Lebanon fired about 15 rockets toward northern Israel, including Maalot (Akko, HaZafon). One of the rockets was intercepted, while the rest fell in open areas. At least one of the rockets fell in an open area near Maalot.;"Haaretz; N12; News 0404; Times of Israel; Ynet"
12/03/2024;On 12 March 2024, Al Aqsa Martyrs Brigade militants opened fire at Israeli forces positioned on the Salim checkpoint (Nablus, West Bank). There were no casualties.;Long War Journal
13/03/2024;On 13 March 2024, Hezbollah forces in Lebanon fired three rockets toward Yesud HaMaala (Zefat, HaZafon) and surrounding areas. The rockets fell in open areas near Yesud HaMaala.;"Haaretz; N12; News 0404; Ynet"
14/03/2024;On 14 March 2024, Al Aqsa Martyrs Brigade militants opened fire at the Gush Etzion settlement (Bethlehem, West Bank). There were no casualties.;Long War Journal
15/03/2024;On 15 March 2024, Katibat Al Amari (AAMB) militants threw explosives at a gathering of Israeli forces in Pesagot (Ramallah and Al Bireh, West Bank). There were no casualties.;Long War Journal
16/03/2024;On 16 March 2024, an unidentified Palestinian group threw pipe bombs at a military watchtower at the entrance of the Arrub Camp (Hebron, West Bank). Israeli forces responded with opening fire towards the camp (likely to target the militants). There were no casualties.;Long War Journal
17/03/2024;On 17 March 2024, Al Aqsa Martyrs Brigade fired mortar shells toward Israeli troops operating in garbage zone, coded to Al Burayj camp (Deir El Balah, Gaza Strip). Casualties unknown.;Arab 48
18/03/2024;On 18 March 2024, Hezbollah forces in Lebanon fired several projectiles toward Menara (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the projectiles fell in open areas near Menara. Israeli military forces struck the launch sites with artillery fire.;"N12; News 0404; Times of Israel; Ynet"
19/03/2024;On 19 March 2024, Katibat Bayt Ummar (AAMB) militants opened fire at Israeli forces positioned at the Gush Etzion military base (Bethlehem, West Bank). There were no casualties.;Long War Journal
20/03/2024;On 20 March 2024, Al Aqsa Martyrs Brigade militants opened fire at an Israeli military position on Har Gerizim (Nablus, West Bank). There were no casualties.;Long War Journal
21/03/2024;On 21 March 2024, Al Aqsa Martyrs Brigade militants exchanged fire with Israeli forces near Zawata (Nablus, West Bank). There were no casualties.;Long War Journal
22/03/2024;On 22 March 2024, Katibat Qaffin (AAMB) militants targeted Israeli forces via roadside bomb as they were passing through the Al Madaris street in Qaffin (Tulkarm, West Bank). There were no casualties.;Long War Journal
23/03/2024;On 23 March 2024, Katibat Tulkarm - Quick Response (AAMB) and Tulkarm Youth of Revenge and Liberation (AAMB) militants opened fire and threw explosives at Israeli forces that raided Tulkarm (Tulkarm, West Bank). There were no casualties.;Long War Journal
24/03/2024;On 24 March 2024, Al Aqsa Martyrs Brigade militants opened fire at Israeli police forces positioned at the Al Quds - Shuafat checkpoint (Al Quds, West Bank). There were no casualties.;Long War Journal
25/03/2024;On 25 March 2024, Al Aqsa Martyrs Brigade militants opened fire at Israeli forces positioned on Jabal Ebal (Nablus, West Bank). There were no casualties.;Long War Journal
26/03/2024;On 26 March 2024, Al Aqsa Martyrs Brigade militants opened fire at Israeli forces positioned on the Bayt Furik checkpoint (Nablus, West Bank). There were no casualties.;Long War Journal
27/03/2024;On 27 March 2024, Katibat Tulkarm - Quick Response (AAMB) militants opened fire at Bat Hefer near Tulkarm (Tulkarm, West Bank). There were no casualties.;Long War Journal
28/03/2024;On 28 March 2024, Palestinian gunmen affiliated with Al Aqsa Martyrs Brigade (Fatah) opened fire at the settlement of Kefar Ezyon (Hebron, West Bank). There were no casualties.;Long War Journal
29/03/2024;On 29 March 2024, Hezbollah forces in Lebanon fired a rocket toward Shlomi (Akko, HaZafon) and surrounding towns. The rocket fell in an open area near Shlomi.;"Haaretz; Ynet"
30/03/2024;On 30 March 2024, Al Aqsa Martyrs Brigade militants opened fire, and threw explosives, at Israeli forces that raided Qalqilyah (Qalqilya, West Bank). There were no casualties.;Long War Journal
31/03/2024;On 31 March 2024, Al Aqsa Martyrs Brigade militants opened fire at Israeli forces that raided Silat al Harithiyah (Jenin, West Bank). There were no casualties.;Long War Journal
01/04/2024;On 1 April 2024, an armed drone that entered Israeli territory from the direction of Jordan fell near Eilat (Beer Sheva, HaDarom). The drone hit a building at an IDF navy base near Eilat, causing damage. No casualties occurred. The Islamic Resistance in Iraq claimed responsibility for the attack, stating that they attacked a 'key target in Israeli territory.';"13 News; Arutz Sheva; Haaretz; Kan News; Ma'ariv; N12; Times of Israel; Ynet"
02/04/2024;On 2 April 2024, Katibat Tulkarm (PIJ) militants opened fire at a Palestinian police station in Illar (Tulkarm, West Bank). There were no casualties.;Long War Journal
03/04/2024;On 3 April 2024, Hamas militants fired mortar rounds toward Israeli troops operating east of Gaza - At Tuffah (Gaza City, Gaza Strip). Casualties unknown.;Ma'an News Agency
04/04/2024;On 4 April 2024, Hamas militants in Gaza fired three rockets toward Kefar Azza (Ashqelon, HaDarom). The rockets fell in open areas near Kefar Azza.;Times of Israel
05/04/2024;On 5 April 2024, Katibat Jaba (PIJ) exchanged fire with Israeli forces in Ras al Laymun area in Jaba (Jenin, West Bank). There were injuries among Israeli forces.;Long War Journal
06/04/2024;On 6 April 2024, Tulkarm Youth or Revenge and Liberation (AAMB) exchanged fire with Israeli forces in the Avnei Hefetz settlement (Tulkarm, West Bank). There were no casualties.;Long War Journal
07/04/2024;On 7 April 2024, Katibat Jenin (PIJ) militants exchanged fire with Palestinian police forces at the Al Cinema roundabout in Jenin (Jenin, West Bank) after Palestinian forces attempted to arrest a wanted militant. There were no casualties.;Long War Journal
08/04/2024;On 8 April 2024, Palestinian militants (likely Hamas) clashed with Israeli troops stationed east of central Gaza Strip, coded to east of Al Burayj camp (Deir El Balah, Gaza Strip), amid artillery fire. Casualties unknown.;Arab 48
09/04/2024;On 9 April 2024, Katibat Jenin (PIJ) militants opened fire at the Gan Ner Israeli community (Yizreel, HaZafon). There were no casualties.;Long War Journal
10/04/2024;On 10 April 2024, Katibat Jenin (PIJ) militants opened fire at Israeli forces positioned on the Mevo Dotan checkpoint (Jenin, West Bank). There were no casualties.;Long War Journal
11/04/2024;On 11 April 2024, Tulkarm Youth of Revenge and Liberation (AAMB) militants exchanged fire with Israeli forces that raided Tulkarm (Tulkarm, West Bank). There were no casualties.;Long War Journal
12/04/2024;On 12 April 2024, the PIJ fired mortar rounds toward Israeli troops in the Khan Yunis area (Khan Yunis, Gaza Strip). Also, the PIJ downed an Israeli surveillance UAV. Casualties unknown.;"Arab 48; Ma'an News Agency"
13/04/2024;On 13 April 2024, Israeli settlers opened fire at Palestinians that repelled their raid on Baytin (Ramallah and Al Bireh, West Bank), injuring a Palestinian. The Palestinian later succumbed to his wounds.;Palestine News and Information Agency
14/04/2024;On 14 April 2024, Hezbollah forces in Lebanon fired about 40 rockets toward IDF targets in the Golan Heights in conjunction with and in support of the large-scale Iranian attack on Israel. Due to the rocket fire, sirens also sounded in Snir (Zefat, HaZafon), as some of the rockets fell in open areas near Snir.;"Calcalist; N12; Srugim; Times of Israel; Walla!News"
15/04/2024;On 15 April 2024, Palestinian militants (likely Hamas) clashed with Israeli troops operating north of An Nusayrat camp (An Nusayrat - North, Deir El Balah, Gaza Strip). Also, the PIJ fired mortar shells toward Israeli troops operating in the same area. The IDF killed several gunmen (Fatalities coded as 3).;"Al Ghad (Jordan); Arab 48; Quds News Network; Twitter"
16/04/2024;On 16 April 2024, Mujahideen Brigades militants targeted an Israeli military vehicle via roadside bomb in Mukhayyam Askar al Jadid (Nablus, West Bank). There were no casualties.;Long War Journal
17/04/2024;On 17 April 2024, Lions' Den militants opened fire at Israeli forces positioned on the Al Murabaa checkpoint near Nablus (Nablus, West Bank). There were no casualties.;Long War Journal
18/04/2024;On 18 April 2024, Hamas militants in Gaza fired a rocket toward Ashqelon (HaDarom). The rocket fell in an open area north of Ashqelon.;"Globes; Haaretz"
19/04/2024;On 19 April 2024, Katibat Bayt Ummar - Quick Response (AAMB) militants opened fire at the Karme Zur settlement (Hebron, West Bank). There were no casualties.;Long War Journal
20/04/2024;On 20 April 2024, Lion's Den militants opened fire at Israeli forces positioned on the Hamra checkpoint (Nablus, West Bank). There were no casualties.;Long War Journal
21/04/2024;On 21 April 2024, Katibat Tubas (PIJ) militants opened fire at Israeli forces positioned on the Tayasir checkpoint (Tubas, West Bank). There were no casualties.;Long War Journal
22/04/2024;On 22 April 2024, an unidentified Palestinian group opened fire at Israeli forces that raided Silat al Harithiyah (Jenin, West Bank) to conduct arrests. There were no casualties.;Long War Journal
23/04/2024;On 23 April 2024, the PIJ fired mortar shells toward Israeli troops stationed at Al Rasheed Street west of Gaza City, coded to Gaza - Southern Remal (Gaza City, Gaza Strip). Casualties unknown.;Arab 48
24/04/2024;On 24 April 2024, Katibat Bayt Ummar - Quick Response (AAMB) and Storm Brigade (AAMB) militants opened fire at Israeli forces that raided Ad Dhahr area in Bayt Ummar (Hebron, West Bank). There were injuries among Israeli soldiers.;Long War Journal
25/04/2024;On 25 April 2024, Tulkarm Youth of Revenge and Liberation (AAMB) and Hamas militants opened fire at Israeli forces that raided Tulkarm (Tulkarm, West Bank). There were no casualties.;Long War Journal
26/04/2024;On 26 April 2024, Balata Youth of Revenge and Liberation (AAMB) militants exchanged fire with Israeli forces in Nablus - An Nabi Yusuf (Nablus, West Bank) as they were securing a passageway for Jewish worshippers. Militants also targeted Israeli forces with explosives. There were no casualties.;Long War Journal
27/04/2024;On 27 April 2024, Katibat Kafr Dan (PIJ) militants opened fire at the Shaked settlement (Jenin, West Bank). There were no casualties.;Long War Journal
28/04/2024;On 28 April 2024, Lions' Den and Balata Youth of Revenge and Liberation (AAMB) militants opened fire at Israeli forces in Balata Camp (Nablus, West Bank), likely during a raid. There were no casualties.;Long War Journal
29/04/2024;On 29 April 2024, Hamas forces in Lebanon fired about 20 rockets toward Kiryat Shmona (Zefat, HaZafon) and surrounding areas. About 13 of the rockets were intercepted, while the rest fell in open areas near Kiryat Shmona. In retaliation, Israeli military forces launched an airstrike on Blat where the shelling originated from (coded separately). There were no casualties.;"Haaretz; N12; Times of Israel; Walla!News"
30/04/2024;On 30 April 2024, Katibat Nablus (PIJ) and Lions' Den militants exchanged fire with Israeli forces that raided Askar al Jadid Camp (Nablus, West Bank). There were no casualties.;Long War Journal
01/05/2024;On 1 May 2024, Lions' Den militants opened fire at Israeli forces positioned on Har Gerizim (Nablus, West Bank). There were casualties among Israeli forces [unconfirmed by IDF].;Long War Journal
02/05/2024;On 2 May 2024, the Al Aqsa Martyrs Brigade, the DFLP, and the PIJ fired mortar rounds toward Israeli forces stationed on the outskirts of Gaza - Ash Shaykh Ijlin (Gaza City, Gaza Strip). Casualties unknown.;Arab 48
03/05/2024;On 3 May 2024, Katibat Jaba (PIJ) militants exchanged fire with Israeli forces that raided Jaba (Jenin, West Bank). There were casualties among Israeli soldiers.;Long War Journal
04/05/2024;On 4 May 2024, the Al Aqsa Martyrs Brigade, the DFLP, and Hamas fired mortar rounds toward Israeli troops stationed in Gaza - Nezarim (Gaza City, Gaza Strip). Casualties unknown.;Arab 48
05/05/2024;On 5 May 2024, Katibat Qaffin (AAMB) militants opened fire and threw pipe bombs at the Hermesh settlement (Tulkarm, West Bank). There were no casualties.;Long War Journal
06/05/2024;On 6 May 2024, Lions' Den and Katibat Nablus (PIJ) militants opened fire, and threw explosives, at Israeli forces in the eastern area in Nablus (Nablus, West Bank). There were no casualties.;Long War Journal
07/05/2024;On 7 May 2024, Katibat Tulkarm - Quick Response (AAMB), Tulkarm Youth of Revenge and Liberation (AAMB), and Lions' Den militants exchanged fire with Israeli forces that raided the Tulkarm Camp (Tulkarm, West Bank). Katibat Tulkarm - Quick Response also targeted an Israeli military bulldozer via roadside bomb. There were injuries among Israeli forces.;Long War Journal
08/05/2024;On 8 May 2024, Palestinian militants (likely Hamas) clashed with Israeli troops on the outskirts of As Salam (Rafah, Gaza Strip). The IDF confirmed that over 900 Palestinian gunmen were killed in Rafah from May 6 to July 1 during the ground invasion. Of these, 260 were already documented, and the remaining 640 were spread across 64 incidents, with 10 fatalities coded to this location.;Arab 48
09/05/2024;On 9 May 2024, Hezbollah forces in Lebanon fired two projectiles, including at least one burkan missile, at Shlomi (Akko, HaZafon). The projectiles hit a house in Shlomi, causing damage and starting a fire. No casualties occurred. In retaliation, Israeli military forces struck the launch sites.;"Haaretz; Jerusalem Post; Ma'ariv; N12; Now 14; Times of Israel; Ynet"
10/05/2024;On 10 May 2024, Hamas militants in Gaza fired about 14 rockets toward Beersheba, Hatzerim (Beer Sheva, HaDarom), and surrounding areas in two separate barrages. Most of the rockets fell in open areas, some likely near Hatzerim.;"Mynet; N12"
11/05/2024;On 11 May 2024, Hamas militants in Gaza fired two rockets toward southern Israel. One of the rockets fell in an open area around the Dudaim waste facility, near Beersheba (Beer Sheva, HaDarom).;Times of Israel
12/05/2024;On 12 May 2024, the PIJ fired mortar rounds toward Israeli troops operating in Shokat as Sufi (Rafah, Gaza Strip). Casualties unknown.;Arab 48
13/05/2024;On 13 May 2024, Hamas militants in Gaza fired one rocket toward Mefalsim (Ashqelon, HaZafon). The rocket fell in an open area near Mefalsim.;N12
14/05/2024;On 14 May 2024, Hamas militants in Gaza fired a mortar toward Nahal Oz (Ashqelon, HaDarom). No direct hits to populated areas were reported, as the mortar likely fell in an open area near Nahal Oz.;N12
15/05/2024;On 15 May 2024, Hezbollah forces in Lebanon fired about 60 rockets toward northern Israel, primarily targeting an IDF air traffic control base on Mount Meron (Akko, HaZafon). Some of the rockets were intercepted. Some rockets hit Mount Meron, while others fell in open areas near Mount Meron. No casualties occurred. In response, Israeli military forces struck the launch sites and other Hezbollah sites in Lebanon, including Blida, Jebel Razlane near Rihan, Jabal Blat, and Yaroun (coded separately).;"Arutz Sheva; Haaretz; Jerusalem Post; N12; News 0404; Times of Israel; Ynet"
16/05/2024;On 16 May 2024, Lions' Den militants opened fire at Israeli forces on Route 5575 near Zawata (Nablus, West Bank), 'directly hitting the targets'. There were no casualties.;Long War Journal
17/05/2024;On 17 May 2024, Hamas militants in Gaza fired one rocket toward Alumim (Beer Sheva, HaDarom). The rocket fell in an open area near Alumim.;N12
18/05/2024;On 18 May 2024, Hamas militants in Gaza fired ten rockets toward Ashqelon (HaDarom) and surrounding areas. Five of the rockets were intercepted by the iron dome. The remainder fell in open areas near Ashqelon. In a separate incident later in the day, Hamas militants fired an additional rocket that fell in the sea near Ashqelon.;"Haaretz; N12; Times of Israel"
19/05/2024;On 19 May 2024, Hezbollah forces in Lebanon fired a rocket that fell in an open area near Yiftah (Zefat, HaZafon). No casualties occurred.;N12
20/05/2024;On 20 May 2024, Katibat Tubas (PIJ) and Al Aqsa Martyrs Brigade exchanged fire with Israeli forces that raided Tubas (Tubas, West Bank). Militants also targeted Israeli military vehicles and bulldozers with roadside bombs causing damages. There were no casualties.;Long War Journal
21/05/2024;On 21 May 2024, Tulkarm Youth of Revenge and Liberation (AAMB) militants opened fire at the Avnei Hefetz settlement (Tulkarm, West Bank). There were no casualties.;Long War Journal
22/05/2024;On 22 May 2024, Lions' Den and Al Aqsa Martyrs Brigade militants opened fire at Israeli forces in Nablus (Nablus, West Bank). There were no casualties.;Long War Journal
23/05/2024;On 23 May 2024, Palestinian militants (likely Hamas) clashed with Israeli troops operating in Al Tannour and east of Rafah, coded to Yibna camp (Rafah, Gaza Strip). The IDF confirmed that over 900 Palestinian gunmen were killed in Rafah from May 6 to July 1 during the ground invasion. Of these, 260 were already documented, and the remaining 640 were spread across 64 incidents, with 10 fatalities coded to this location.;"Arab 48; Ma'an News Agency"
24/05/2024;On 24 May 2024, Hezbollah forces in Lebanon fired at least one projectile toward Kiryat Shmona (Zefat, HaZafon). One rocket fell in the city. No damages were reported. No casualties occurred.;Ynet
25/05/2024;On 25 May 2024, Mujahideen Brigades militants exchanged fire with Israeli forces on Nazareth street in Jenin city (Jenin, West Bank). The militants also targeted an Israeli military vehicle with a roadside bomb. Militants claimed they injured several Israeli soldiers.;Long War Journal
26/05/2024;On 26 May 2024, an Israeli settler opened fire at a Palestinian in At Taybeh area, west of Hebron (Hebron, West Bank) as he was in his land. The Palestinian was injured.;"Ma'an News Agency; Palestine News and Information Agency"
27/05/2024;On 27 May 2024, Katibat Tulkarm (PIJ) militants opened fire at Israeli forces positioned on the Enav checkpoint (Tulkarm, West Bank) 'hitting them directly'. There were no casualties.;Long War Journal
28/05/2024;On 28 May 2024, Katibat Tulkarm (PIJ) militants threw grenades at Israeli military vehicles in Anabta (Tulkarm, West Bank). There were no casualties.;Long War Journal
29/05/2024;On 29 May 2024, Katibat Ash Shaarawiyah - Quick Response (AAMB) militants opened fire at Israeli forces positioned at the separating wall near Attil (Tulkarm, West Bank) 'hitting them directly'. There were no casualties.;Long War Journal
30/05/2024;On 30 May 2024, Katibat Tubas (PIJ) opened fire at Israeli forces at the Tammun intersection (Tubas, West Bank) during a raid. There were no casualties.;Long War Journal
31/05/2024;On 31 May 2024, Katibat Ash Shaarawiyah - Quick Response (AAMB) militants opened fire at Israeli forces near the separating wall near Dayr al Ghusun (Tulkarm, West Bank). There were no casualties.;Long War Journal
01/06/2024;On 1 June 2024, an unidentified Palestinian group opened fire at Meirav (Yizreel, HaZafon). There were no casualties.;"Long War Journal; Quds News Network"
02/06/2024;On 2 June 2024, Lions' Den militants opened fire at Israeli forces positioned on the Sarrah checkpoint (Nablus, West Bank). There were no casualties.;Long War Journal
03/06/2024;On 3 June 2024, Al Aqsa Martyrs Brigade militants exchanged fire with Israeli forces that raided Nablus - An Nabi Yusuf (Nablus, West Bank) to secure an Israeli settler visit to the shrine. Militants also targeted Israeli forces with explosives. The militants claimed they achieved 'direct injuries' among Israeli soldiers, but this was not confirmed.;Long War Journal
04/06/2024;On 4 June 2024, an unidentified Palestinian group threw an explosive device at the Palestinian police headquarters in Tubas (Tubas, West Bank). There were no casualties.;Long War Journal
05/06/2024;On 5 June 2024, Pioneers of Liberation - Nablus (AAMB) militants exchanged fire with Israeli forces that raided Ain Bayt Al Ma Camp (Nablus, West Bank). There were no casualties.;Long War Journal
06/06/2024;On 6 June 2024, Palestinian militants (likely Hamas) clashed with Israeli troops in central Rafah city, coded to Rafah Camp (Rafah, Gaza Strip) amid artillery fire. The IDF confirmed that over 900 Palestinian gunmen were killed in Rafah from May 6 to July 1 during the ground invasion. Of these, 260 were already documented, and the remaining 640 were spread across 64 incidents, with 10 fatalities coded to this location.;Arab 48
07/06/2024;On 7 June 2024, Lions' Den militants opened fire at Israeli forces positioned on the Awarta checkpoint (Nablus, West Bank). 2 Israeli soldiers were injured.;Long War Journal
08/06/2024;On 8 June 2024, Katibat Ash Shaarawiyah - Quick Response (AAMB) militants opened fire at Israeli forces near the separating wall between Attil and Zayta (Tulkarm, West Bank). Militants also targeted the Israeli forces via roadside bomb. There were no casualties.;Long War Journal
09/06/2024;On 9 June 2024, Hamas militants in Gaza fired at least one rocket that crossed into Israeli territory and hit an open area near Sufa (Beer Sheva, HaDarom).;Times of Israel
10/06/2024;On 10 June 2024, an unidentified Palestinian group threw grenades at Israeli forces in Nablus city (Nablus, West Bank). There were no casualties.;Long War Journal
11/06/2024;On 11 June 2024, Lions' Den militants detonated an explosive device targeting Israeli forces in Har Gerizim (Nablus, West Bank). There were no casualties.;Long War Journal
12/06/2024;On 12 June 2024, Hezbollah forces in Lebanon fired a rocket that crossed into Israeli territory and hit an open area in Shlomi (Akko, HaZafon), causing no injuries.;Times of Israel
13/06/2024;On 13 June 2024, Palestinian Islamic Jihad militants in Gaza fired rockets that crossed into Israeli territory near Ashqelon (Ashqelon, HaDarom). Some hit open areas, causing no injuries or damage, and some were intercepted.;Times of Israel
14/06/2024;On 14 June 2024, Hamas militants in Gaza fired two rockets that crossed into Israeli territory and fell in Shaar Hanegev (Ashqelon, HaDarom).;Haaretz
15/06/2024;On 15 June 2024, Hamas militants in Gaza fired a rocket that crossed into Israeli territory and landed near Sufa (Beer Sheva, HaDarom), causing no injuries.;Times of Israel
16/06/2024;On 16 June 2024, an unidentified Palestinian group exchanged fire with Israeli forces near the Mevo Dotan checkpoint (Jenin, West Bank). There were no casualties.;Quds News Network
17/06/2024;On 17 June 2024, Lions' Den militants opened fire at Israeli forces on Route 5575 near Zawata (Nablus, West Bank). There were no casualties.;Long War Journal
18/06/2024;On 18 June 2024, Pioneers of Liberation - Nablus (AAMB) and Katibat Nablus (PIJ) militants exchanged fire with Israeli forces that raided Rafidiyah (Nablus, West Bank), 'hitting them directly'. Militants also threw explosives at Israeli forces. There were no casualties.;Long War Journal
19/06/2024;On 19 June 2024, Katibat Jenin (PIJ) militants opened fire at the Homesh settlement (Nablus, West Bank). Militants also targeted the settlement with an explosive. There were no casualties.;Long War Journal
20/06/2024;On 20 June 2024, Lions' Den militants opened fire at Israeli forces positioned on Har Gerizim (Nablus, West Bank). The militants claimed they achieved 'direct injuries' among Israeli soldiers, but this was not confirmed.;Long War Journal
21/06/2024;On 21 June 2024, Tulkarm Youth of Revenge and Liberation (AAMB) militants opened fire at Israeli forces positioned on the Shuwaykah gate (Tulkarm, West Bank). There were no casualties.;Long War Journal
22/06/2024;On 22 June 2024, Knights of the Night - Nur ash Shams (AAMB) militants opened fire at Israeli forces positioned on the Enav checkpoint (Tulkarm, West Bank). There were no casualties.;Long War Journal
23/06/2024;On 23 June 2024, Palestinian militants (likely Hamas) clashed with Israeli troops operating in Tal as Sultan (Rafah, Gaza Strip). Also, Hamas targeted Israeli troops with mortar rounds and Rujom missiles in Tal as Sultan. The IDF confirmed that over 900 Palestinian gunmen were killed in Rafah from May 6 to July 1 during the ground invasion. Of these, 260 were already documented, and the remaining 640 were spread across 64 incidents, with 10 fatalities coded to this location.;Arab 48
24/06/2024;On 24 June 2024, an unidentified Palestinian group detonated an explosive device in Tulkarm (Tulkarm, West Bank) to lure Israeli forces. There were no casualties.;Long War Journal
25/06/2024;On 25 June 2024, the PIJ fired mortar rounds toward Israeli troops stationed in Gaza - Nezarim (Gaza City, Gaza Strip). Casualties unknown.;Arab 48
26/06/2024;On 26 June 2024, Lions' Den militants opened fire at Israeli forces on Route 5575 near Zawata (Nablus, West Bank). The militants claimed they achieved 'direct injuries' among Israeli soldiers, but this was not confirmed.;Long War Journal
27/06/2024;On 27 June 2024, Hamas militants in Gaza fired two rockets toward Nahal Oz (Ashqelon, HaDarom). The rockets fell in open areas near Nahal Oz.;Ynet
28/06/2024;On 28 June 2024, Lions' Den militants opened fire at Israeli forces positioned on Har Gerizim (Nablus, West Bank). There were no casualties.;Long War Journal
29/06/2024;On 29 June 2024, Pioneers of Liberation - Nablus (AAMB) militants exchanged fire with Israeli forces that raided Al Makhfiyah neighborhood in Nablus city (Nablus, West Bank).;"Al Ghad (Jordan); Long War Journal"
30/06/2024;On 30 June 2024, Palestinian militants (likely Hamas) clashed with Israeli troops in the Saudi area of Tal as Sultan (Rafah, Gaza Strip). The IDF confirmed that over 900 Palestinian gunmen were killed in Rafah from May 6 to July 1 during the ground invasion. Of these, 260 were already documented, and the remaining 640 were spread across 64 incidents, with 10 fatalities coded to this location.;Arab 48
01/07/2024;On 1 July 2024, the PIJ clashed with Israeli troops and targeted a tank with a RBG southwest of Rafah, coded to Tal as Sultan (Rafah, Gaza Strip). The IDF confirmed that over 900 Palestinian gunmen were killed in Rafah from May 6 to July 1 during the ground invasion. Of these, 260 were already documented, and the remaining 640 were spread across 64 incidents, with 10 fatalities coded to this location.;Arab 48
02/07/2024;On 2 July 2024, Mujahideen Brigades and DFLP targeted Israeli troops operating east of Gaza City, coded to Gaza - Shujaiyya (Gaza City, Gaza Strip) with mortars. Casualties unknown.;Arab 48
03/07/2024;On 3 July 2024, Katibat Nablus (PIJ) militants opened fire at Israeli forces positioned on Jabal Ebal (Nablus, West Bank). There were no casualties.;Long War Journal
04/07/2024;On 4 July 2024, Pioneers of Liberation - Nablus (AAMB) militants exchanged fire with Israeli forces in Ain Bayt Al Ma Camp (Nablus, West Bank) as they were withdrawing from the area. There were no casualties.;Long War Journal
05/07/2024;On 5 July 2024, Katibat Silat al Harithiyah (PIJ) militants opened fire at Israeli forces that raided Silat al Harithiyah (Jenin, West Bank). Militants also targeted Israeli forces via roadside bomb. There were no casualties.;Long War Journal
06/07/2024;On 6 July 2024, Pioneers of Liberation - Nablus (AAMB) militants opened fire at Israeli forces positioned on the At Tur checkpoint in Har Gerizim (Nablus, West Bank). There were no casualties.;Long War Journal
07/07/2024;On 7 July 2024, Hezbollah forces in Lebanon fired about 20 rockets toward the area of Tiberias and surrounding towns, including Kefar Zeitim (Kinneret, HaZafon). Some of the rockets were intercepted. One rocket hit an open area near Kefar Zeitim, seriously injuring a civilian. Fires also broke out near Kfar Zeitim as a result of rocket fire. Hezbollah forces claimed to have been targeting IDF bases in the area and stated that the barrage was in response to Israel killing a Hezbollah operative the previous day.;"Arutz Sheva; Haaretz; N12; Srugim; Times of Israel; Walla!News"
08/07/2024;On 8 July 2024, Katibat Ash Shaarawiyah - Quick Response (AAMB) militants opened fire at Israeli forces near the separating wall between Zayta and Attil (Nablus, West Bank). Militants also targeted Israeli forces via roadside bombs. There were no casualties.;Long War Journal
09/07/2024;On 9 July 2024, Mujahideen Brigades militants threw pipe bombs at an Israeli military watchtower at the entrance of Bayt Ummar (Hebron, West Bank). There were no casualties.;Long War Journal
10/07/2024;On 10 July 2024, Jenin Panthers Brigades (AAMB) militants opened fire at Gan Ner (Yizreel, HaZafon). There were no casualties.;Long War Journal
11/07/2024;On 11 July 2024, Al Aqsa Martyrs Brigade militants opened fire at an Israeli military vehicle on a bypass road near Mevo Dotan (Jenin, West Bank). There were no casualties.;Long War Journal
12/07/2024;On 12 July 2024, Hezbollah forces in Lebanon fired several rockets toward Metulla and Margaliyyot (Zefat, HaZafon). About five of the rockets were fired toward Margaliyyot, some of which were intercepted. Other rockets fell in open areas near Margaliyyot. No casualties occurred.;"Haaretz; N12; Times of Israel; Ynet"
13/07/2024;On 13 July 2024, Katibat Jenin (PIJ) militants opened fire at Gan Ner (Yizreel, HaZafon). Militants claimed they caused 'direct injuries' but that has not been confirmed.;Long War Journal
14/07/2024;On 14 July 2024, Lions of Glory (AAMB) militants opened fire at Israeli forces positioned on the Tzufim checkpoint (Qalqilya, West Bank). There were no casualties.;Long War Journal
15/07/2024;On 15 July 2024, an unidentified Palestinian assailant stabbed an Israeli border police officer in Al Bireh (Ramallah and Al Bireh, West Bank). Israeli forces shot and killed the assailant. An officer was injured. The assailant was originally a Gaza resident.;"Arutz Sheva; Long War Journal"
16/07/2024;On 16 July 2024, Hezbollah forces in Lebanon fired about 40 rockets toward Kiryat Shmona and surrounding areas, including Bet Hillel (Zefat, HaZafon). Some of the rockets were intercepted. No direct hits occurred in Bet Hillel, as some of the rockets likely fell in open areas near Bet Hillel. No casualties occurred. In response, Israeli military forces struck the launch sites in Jabal Blat, Aita ech Chaab, and Aalma ech Chaab (coded separately).;Ynet
17/07/2024;On 17 July 2024, Jenin Panthers Brigades (AAMB), Katibat Jenin (PIJ), And Qabatiya Engineering Unit militants targeted Israeli forces via roadside bomb in Ash Shuhada (Jenin, West Bank) as they were withdrawing from Jenin city. Militants claimed they 'directly injured' Israeli forces but that has not been confirmed.;Long War Journal
18/07/2024;On 18 July 2024, Katibat Nablus (PIJ) militants detonated a roadside bomb targeting Israeli forces in Ain Bayt Al Ma Camp (Nablus, West Bank). Militants claimed 'direct injuries' but that has not been confirmed.;Long War Journal
19/07/2024;On 19 July 2024, Pioneers of Liberation - Nablus (AAMB) and Lions' Den militants exchanged fire with Israeli forces that raided Nablus city (Nablus, West Bank). There were no casualties.;Long War Journal
